run_accession	mate	url	md5	bytes
SRR11285557	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/057/SRR11285557/SRR11285557_1.fastq.gz	e6a2f451fd7bd4da5401a2c0804bc1ec	589859138
SRR11285557	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/057/SRR11285557/SRR11285557_2.fastq.gz	e76f973aa8dcac9bee99c710892dfdf8	669162615
SRR11285558	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/058/SRR11285558/SRR11285558_1.fastq.gz	b16ecf25fc8e31e545f9d80710f0a9ba	685941218
SRR11285558	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/058/SRR11285558/SRR11285558_2.fastq.gz	b9ac34f2e1332418f676c9ebb90446e0	734478120
SRR11285559	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/059/SRR11285559/SRR11285559_1.fastq.gz	7d30e7deae621cff8fff155cb2227645	420573714
SRR11285559	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/059/SRR11285559/SRR11285559_2.fastq.gz	87e58e9669b20e7c7fcdd07b0a36be0d	468538546
SRR11285560	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/060/SRR11285560/SRR11285560_1.fastq.gz	ce3ccc10cebeb25a5cce4586bdc8ade2	484576839
SRR11285560	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/060/SRR11285560/SRR11285560_2.fastq.gz	e4d7aadb8057eacb83bd09514e423e65	508492639
SRR11285561	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/061/SRR11285561/SRR11285561_1.fastq.gz	2da17d6808e97e7f5b0753e54bcdddb2	448708240
SRR11285561	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/061/SRR11285561/SRR11285561_2.fastq.gz	bcfdf78c9016bd36372cee4c86d60528	471208779
SRR11285562	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/062/SRR11285562/SRR11285562_1.fastq.gz	943353835ac321b2c2619f5d35431336	427990362
SRR11285562	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/062/SRR11285562/SRR11285562_2.fastq.gz	bafffbe3f9e62964f679f3545ceaf68d	455801318
SRR11285563	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/063/SRR11285563/SRR11285563_1.fastq.gz	cb7b0ea5d57b03482b46a5b4e16cedf3	431666659
SRR11285563	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/063/SRR11285563/SRR11285563_2.fastq.gz	4b4a3cc243fad7991b828f9831c296a1	475044295
SRR11285564	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/064/SRR11285564/SRR11285564_1.fastq.gz	c74496c1cfd4e4462d0f5e207059ccf9	439748294
SRR11285564	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/064/SRR11285564/SRR11285564_2.fastq.gz	db526c62e0436b19214adba6797f8ce2	491669681
SRR11285565	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/065/SRR11285565/SRR11285565_1.fastq.gz	ca800dbc6817b4e9003f6c3fda141eba	409859549
SRR11285565	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/065/SRR11285565/SRR11285565_2.fastq.gz	0f208a81c110bb47cc2208fc61424d67	464382625
SRR11285566	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/066/SRR11285566/SRR11285566_1.fastq.gz	74e5f04850c0ec14966053c4056deb18	570263373
SRR11285566	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/066/SRR11285566/SRR11285566_2.fastq.gz	03266ca6c10369ca051bfd2b39f5d498	607704106
SRR11285567	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/067/SRR11285567/SRR11285567_1.fastq.gz	7b60bc050a036ccb7c90d417285d483c	487502201
SRR11285567	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/067/SRR11285567/SRR11285567_2.fastq.gz	14d4a68a57755f86839f79ce55abbb3c	559704905
SRR11285568	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/068/SRR11285568/SRR11285568_1.fastq.gz	45b9c7a4e1372d5c5899da1ec7ff9d38	599397599
SRR11285568	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/068/SRR11285568/SRR11285568_2.fastq.gz	4da49454f0d7c0a2aaba7a6477bb828a	697838192
SRR11285569	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/069/SRR11285569/SRR11285569_1.fastq.gz	6ea6f885264172a1d17297e00edc8ff6	403192130
SRR11285569	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/069/SRR11285569/SRR11285569_2.fastq.gz	a824164fd4eccfab980d12edd64326ac	481480801
SRR11285570	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/070/SRR11285570/SRR11285570_1.fastq.gz	88edd440a4029a6524f5a799198f2e21	385742581
SRR11285570	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/070/SRR11285570/SRR11285570_2.fastq.gz	2c6e28f2a04dc978cdfd6de7d986ca74	485172738
