# AREE gene identifier crosswalk — Magallana gigas (Crassostrea gigas), Pacific oyster (NCBI taxid 29159)
# Built by src/mappings/build_crosswalk.py v1.0.0 on 2026-08-27
# Sources: NCBI Gene (gene_info) and UniProtKB. See the .provenance.json
# sidecar for source URLs, checksums, and coverage statistics.
# Current NCBI reference annotation at build time: GCF_963853765.1 (xbMagGiga1.1), annotation release GCF_963853765.1-RS_2024_06
# NOTE: orthogroup_id is intentionally empty — real orthogroups require an
# ortholog inference run and are not fabricated here.
ncbi_gene_id	ensembl_gene_id	uniprot_accession	uniprot_accessions_all	locus_id	gene_symbol	gene_synonyms	gene_description	gene_type	orthogroup_id
105322945				LOC105322945	LOC105322945		uncharacterized LOC105322945	ncRNA	
105322946	ENSBDJG00000017062	A0A8W8KJI0	A0A8W8KJI0	LOC105322946	LOC105322946		synaptic plasticity regulator PANTS	protein-coding	
105322947	ENSBDJG00000015476			LOC105322947	LOC105322947		2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2	protein-coding	
105322948				LOC105322948	LOC105322948		uncharacterized LOC105322948	ncRNA	
105322950	ENSBDJG00000013391			LOC105322950	LOC105322950		nitric oxide synthase, salivary gland	protein-coding	
105322953				LOC105322953	LOC105322953		glutamate-gated chloride channel alpha	protein-coding	
105322958	ENSBDJG00000008909			LOC105322958	LOC105322958		U6 snRNA-associated Sm-like protein LSm6	protein-coding	
105322959				LOC105322959	LOC105322959		uncharacterized LOC105322959	protein-coding	
105322962				LOC105322962	LOC105322962		interleukin 17-like protein	protein-coding	
105322963				LOC105322963	LOC105322963		solute carrier family 12 member 1	protein-coding	
105322966	ENSBDJG00000002841			LOC105322966	LOC105322966		uncharacterized LOC105322966	protein-coding	
105322967				LOC105322967	LOC105322967		uncharacterized LOC105322967	protein-coding	
105322968				LOC105322968	LOC105322968		centromere protein C	protein-coding	
105322969	ENSBDJG00000004726			LOC105322969	LOC105322969		HAUS augmin-like complex subunit 3	protein-coding	
105322971	ENSBDJG00000003418			LOC105322971	LOC105322971		transcription factor atf-2	protein-coding	
105322973	ENSBDJG00000006974			LOC105322973	LOC105322973		pinin	protein-coding	
105322974	ENSBDJG00000010819			LOC105322974	LOC105322974		trafficking protein particle complex subunit 6b	protein-coding	
105322975				LOC105322975	LOC105322975		uncharacterized LOC105322975	protein-coding	
105322976				LOC105322976	LOC105322976		A-kinase anchor protein 9	protein-coding	
105322977	ENSBDJG00000007730			LOC105322977	LOC105322977		amidase	protein-coding	
105322978	ENSBDJG00000007422			LOC105322978	LOC105322978		ankyrin repeat and SOCS box protein 2	protein-coding	
105322983				LOC105322983	LOC105322983		antifreeze protein Maxi-like	protein-coding	
105322984				LOC105322984	LOC105322984		antifreeze protein Maxi-like	protein-coding	
105322986				LOC105322986	LOC105322986		spidroin-1	protein-coding	
105322988	ENSBDJG00000003011			LOC105322988	LOC105322988		ATP-dependent RNA helicase DHX58	protein-coding	
105322990				LOC105322990	LOC105322990		uncharacterized LOC105322990	protein-coding	
105322991	ENSBDJG00000002985			LOC105322991	LOC105322991		uncharacterized LOC105322991	protein-coding	
105322992	ENSBDJG00000003667			LOC105322992	LOC105322992		uncharacterized LOC105322992	protein-coding	
105322994	ENSBDJG00000002583			LOC105322994	LOC105322994		E3 SUMO-protein ligase EGR2	protein-coding	
105322995	ENSBDJG00000001365			LOC105322995	LOC105322995		synaptobrevin homolog YKT6	protein-coding	
105322996	ENSBDJG00000003371	A0A8W8IPK7	A0A8W8IPK7	LOC105322996	LOC105322996		nuclear protein AMMECR1	protein-coding	
105322997	ENSBDJG00000000468			LOC105322997	LOC105322997		protein FAM53A	protein-coding	
105322998	ENSBDJG00000003660			LOC105322998	LOC105322998		leucine-rich repeat and calponin homology domain-containing protein 1	protein-coding	
105322999				LOC105322999	LOC105322999		uncharacterized LOC105322999	protein-coding	
105323000				LOC105323000	LOC105323000		WD repeat-containing protein 53	protein-coding	
105323004	ENSBDJG00000019319			LOC105323004	LOC105323004		receptor-type tyrosine-protein phosphatase epsilon	protein-coding	
105323005				LOC105323005	LOC105323005		uncharacterized LOC105323005	protein-coding	
105323006				LOC105323006	LOC105323006		uncharacterized LOC105323006	protein-coding	
105323007				LOC105323007	LOC105323007		retinol dehydrogenase 12	protein-coding	
105323008	ENSBDJG00000013442			LOC105323008	LOC105323008		uncharacterized LOC105323008	protein-coding	
105323009	ENSBDJG00000012713			LOC105323009	LOC105323009		cleavage stimulation factor subunit 1	protein-coding	
105323010	ENSBDJG00000013026	A0A8W8KX17	A0A8W8KX17	LOC105323010	LOC105323010		cyclin-Y-like protein 1	protein-coding	
105323013				LOC105323013	LOC105323013		uncharacterized LOC105323013	protein-coding	
105323015				LOC105323015	LOC105323015		homeobox protein CDX-1	protein-coding	
105323016	ENSBDJG00000011373			LOC105323016	LOC105323016		ankyrin repeat domain-containing protein 50	protein-coding	
105323021	ENSBDJG00000010661			LOC105323021	LOC105323021		uncharacterized LOC105323021	protein-coding	
105323022				LOC105323022	LOC105323022		uncharacterized LOC105323022	protein-coding	
105323023	ENSBDJG00000013648			LOC105323023	LOC105323023		twitchin	protein-coding	
105323028				LOC105323028	LOC105323028		uncharacterized LOC105323028	ncRNA	
105323030				LOC105323030	LOC105323030		uncharacterized LOC105323030	protein-coding	
105323034				LOC105323034	LOC105323034		caveolin-2	protein-coding	
105323036				LOC105323036	LOC105323036		uncharacterized LOC105323036	protein-coding	
105323038	ENSBDJG00000007259			LOC105323038	LOC105323038		small ribosomal subunit protein mS33	protein-coding	
105323039				LOC105323039	LOC105323039		5' exonuclease Apollo	protein-coding	
105323040	ENSBDJG00000007455	A0A8W8M1L7	A0A8W8M1L7;A0A8W8M1M5;A0A8W8M4N5	LOC105323040	LOC105323040		cyclin-dependent kinase 17	protein-coding	
105323041				LOC105323041	LOC105323041		uncharacterized LOC105323041	ncRNA	
105323043	ENSBDJG00000007417			LOC105323043	LOC105323043		leucine-rich repeat-containing protein 9	protein-coding	
105323044	ENSBDJG00000008226			LOC105323044	LOC105323044		uncharacterized LOC105323044	protein-coding	
105323045				LOC105323045	LOC105323045		connector enhancer of kinase suppressor of ras 2	protein-coding	
105323046				LOC105323046	LOC105323046		putative tyrosinase-like protein tyr-1	protein-coding	
105323047	ENSBDJG00000016419			LOC105323047	LOC105323047		connector enhancer of kinase suppressor of ras 2	protein-coding	
105323048				LOC105323048	LOC105323048		beta-1,4-N-acetylgalactosaminyltransferase bre-4	protein-coding	
105323049				LOC105323049	LOC105323049		uncharacterized LOC105323049	protein-coding	
105323050	ENSBDJG00000014700	A0A8W8JKF2	A0A8W8JKF2	LOC105323050	LOC105323050		3-oxoacyl-[acyl-carrier-protein] reductase FabG	protein-coding	
105323051				LOC105323051	LOC105323051		transcription factor Sp5	protein-coding	
105323052				LOC105323052	LOC105323052		uncharacterized LOC105323052	protein-coding	
105323053				LOC105323053	LOC105323053		NAD-dependent deacetylase sir2B	protein-coding	
105323054				LOC105323054	LOC105323054		neuronal acetylcholine receptor subunit alpha-10	protein-coding	
105323055				LOC105323055	LOC105323055		uncharacterized LOC105323055	ncRNA	
105323056				LOC105323056	LOC105323056		temptin	protein-coding	
105323058	ENSBDJG00000012897			LOC105323058	LOC105323058		myosin-IIIb	protein-coding	
105323062				LOC105323062	LOC105323062		uncharacterized LOC105323062	protein-coding	
105323063	ENSBDJG00000019284			LOC105323063	LOC105323063		peptidoglycan-recognition protein SC2	protein-coding	
105323064				LOC105323064	LOC105323064		keratin-associated protein 6-2	protein-coding	
105323065				LOC105323065	LOC105323065		keratin-associated protein 19-2-like	protein-coding	
105323066				LOC105323066	LOC105323066		keratin-associated protein 19-2-like	protein-coding	
105323069				LOC105323069	LOC105323069		uncharacterized LOC105323069	protein-coding	
105323071				LOC105323071	LOC105323071		uncharacterized LOC105323071	ncRNA	
105323072				LOC105323072	LOC105323072		uncharacterized LOC105323072	ncRNA	
105323074				LOC105323074	LOC105323074		serine-rich adhesin for platelets-like	protein-coding	
105323084				LOC105323084	LOC105323084		SCO-spondin	protein-coding	
105323085	ENSBDJG00000001719			LOC105323085	LOC105323085		MICOS complex subunit Mic60	protein-coding	
105323086	ENSBDJG00000002415			LOC105323086	LOC105323086		large ribosomal subunit protein bL35m	protein-coding	
105323087	ENSBDJG00000013207			LOC105323087	LOC105323087		CCN family member 2	protein-coding	
105323089	ENSBDJG00000021646			LOC105323089	LOC105323089		vacuolar protein sorting-associated protein 16 homolog	protein-coding	
105323092	ENSBDJG00000010786	A0A8W8KTS4	A0A8W8KTS4	LOC105323092	LOC105323092		large ribosomal subunit protein mL39	protein-coding	
105323093	ENSBDJG00000011521			LOC105323093	LOC105323093		E3 SUMO-protein ligase RanBP2	protein-coding	
105323094	ENSBDJG00000010868			LOC105323094	LOC105323094		platelet-activating factor acetylhydrolase IB subunit alpha2	protein-coding	
105323095				LOC105323095	LOC105323095		uncharacterized LOC105323095	ncRNA	
105323096				LOC105323096	LOC105323096		uncharacterized LOC105323096	ncRNA	
105323097				LOC105323097	LOC105323097		multiple epidermal growth factor-like domains protein 10	protein-coding	
105323098				LOC105323098	LOC105323098		disintegrin and metalloproteinase domain-containing protein 10	protein-coding	
105323099				LOC105323099	LOC105323099		leucine-rich repeats and immunoglobulin-like domains protein 3	protein-coding	
105323101				LOC105323101	LOC105323101		uncharacterized LOC105323101	protein-coding	
105323102	ENSBDJG00000007325			LOC105323102	LOC105323102		UDP-xylose and UDP-N-acetylglucosamine transporter	protein-coding	
105323104				LOC105323104	LOC105323104		perlucin-like	protein-coding	
105323106	ENSBDJG00000008033			LOC105323106	LOC105323106		galactose mutarotase	protein-coding	
105323107				LOC105323107	LOC105323107		tetraspanin-13	protein-coding	
105323110				LOC105323110	LOC105323110		uncharacterized LOC105323110	ncRNA	
105323111	ENSBDJG00000015676			LOC105323111	LOC105323111		calcium-responsive transcription factor	protein-coding	
105323112				LOC105323112	LOC105323112		uncharacterized LOC105323112	protein-coding	
105323113				LOC105323113	LOC105323113		uncharacterized LOC105323113	protein-coding	
105323115				LOC105323115	LOC105323115		general transcription factor IIE subunit 1	protein-coding	
105323116				LOC105323116	LOC105323116		furin-like protease kpc-1	protein-coding	
105323119				LOC105323119	LOC105323119		mucin-3A-like	protein-coding	
105323120				LOC105323120	LOC105323120		uncharacterized LOC105323120	protein-coding	
105323122	ENSBDJG00000002541	A0A8W8IMX4	A0A8W8IMX4	LOC105323122	LOC105323122		peptidyl-prolyl cis-trans isomerase NIMA-interacting 4	protein-coding	
105323123				LOC105323123	LOC105323123		perlucin	protein-coding	
105323125	ENSBDJG00000021040			LOC105323125	LOC105323125		uncharacterized LOC105323125	protein-coding	
105323126				LOC105323126	LOC105323126		uncharacterized LOC105323126	protein-coding	
105323129				LOC105323129	LOC105323129		uncharacterized LOC105323129	protein-coding	
105323130				LOC105323130	LOC105323130		neuropeptide FF receptor 1	protein-coding	
105323131				LOC105323131	LOC105323131		tripartite motif-containing protein 2	protein-coding	
105323132	ENSBDJG00000000633			LOC105323132	LOC105323132		glycogen debranching enzyme	protein-coding	
105323133	ENSBDJG00000005225			LOC105323133	LOC105323133		peptidyl-prolyl cis-trans isomerase-like 3	protein-coding	
105323134	ENSBDJG00000002288			LOC105323134	LOC105323134		zinc finger ZZ-type and EF-hand domain-containing protein 1	protein-coding	
105323135	ENSBDJG00000022344	B6VP46	B6VP46	LOC105323135	Actr2		ARP2 actin-related protein 2 homolog (yeast)	protein-coding	
105323136	ENSBDJG00000002372			LOC105323136	LOC105323136	Plectin-1	microtubule-actin cross-linking factor 1	protein-coding	
105323137	ENSBDJG00000015738			LOC105323137	LOC105323137		protein arginine N-methyltransferase 5	protein-coding	
105323138	ENSBDJG00000013821			LOC105323138	LOC105323138		transcriptional regulator Erg	protein-coding	
105323139	ENSBDJG00000021792			LOC105323139	LOC105323139		uncharacterized LOC105323139	protein-coding	
105323141	ENSBDJG00000002548			LOC105323141	LOC105323141		leucine-rich repeat-containing protein 27	protein-coding	
105323142	ENSBDJG00000001209			LOC105323142	LOC105323142		serine/threonine-protein kinase 32B	protein-coding	
105323144				LOC105323144	LOC105323144		uncharacterized LOC105323144	protein-coding	
105323145	ENSBDJG00000019904	A0A8W8NMV7	A0A8W8NMV7	LOC105323145	LOC105323145		transmembrane 9 superfamily member 1	protein-coding	
105323146	ENSBDJG00000009740			LOC105323146	LOC105323146		sodium/bile acid cotransporter 7	protein-coding	
105323147	ENSBDJG00000012224			LOC105323147	LOC105323147		RNA-binding protein 26	protein-coding	
105323149				LOC105323149	LOC105323149		uncharacterized LOC105323149	ncRNA	
105323151				LOC105323151	LOC105323151	HSP40	dnaJ homolog subfamily B member 4	protein-coding	
105323152				LOC105323152	LOC105323152		transient receptor potential cation channel subfamily A member 1	protein-coding	
105323154	ENSBDJG00000010538			LOC105323154	LOC105323154		quinone oxidoreductase	protein-coding	
105323155				LOC105323155	LOC105323155		uncharacterized LOC105323155	protein-coding	
105323157				LOC105323157	LOC105323157		ORC ubiquitin ligase 1	protein-coding	
105323158				LOC105323158	LOC105323158		uncharacterized LOC105323158	protein-coding	
105323159				LOC105323159	LOC105323159		uncharacterized PE-PGRS family protein PE_PGRS46	protein-coding	
105323160	ENSBDJG00000022342			LOC105323160	LOC105323160		methylmalonyl-CoA mutase, mitochondrial	protein-coding	
105323161	ENSBDJG00000017328			LOC105323161	LOC105323161		rab-like protein 2A	protein-coding	
105323162				LOC105323162	LOC105323162		uncharacterized LOC105323162	ncRNA	
105323163				LOC105323163	LOC105323163		hypothetical protein	ncRNA	
105323164				LOC105323164	LOC105323164		uncharacterized LOC105323164	protein-coding	
105323165	ENSBDJG00000020154			LOC105323165	LOC105323165		adenomatous polyposis coli protein	protein-coding	
105323166				LOC105323166	LOC105323166		actin-binding protein IPP	protein-coding	
105323167	ENSBDJG00000017531	A0A8W8P4U7	A0A8W8P4U7;Q4H449	LOC105323167	LOC105323167	rps27-1	small ribosomal subunit protein eS27-like	protein-coding	
105323168				LOC105323168	LOC105323168		corticotropin-releasing factor-binding protein	protein-coding	
105323169				LOC105323169	LOC105323169		uncharacterized LOC105323169	protein-coding	
105323170				LOC105323170	LOC105323170		contactin	protein-coding	
105323171	ENSBDJG00000021308			LOC105323171	LOC105323171		uncharacterized LOC105323171	protein-coding	
105323172	ENSBDJG00000022403	A0A8W8NHP5	A0A8W8NHP5	LOC105323172	LOC105323172		V-type proton ATPase subunit F	protein-coding	
105323173	ENSBDJG00000021152			LOC105323173	LOC105323173		transmembrane and ubiquitin-like domain-containing protein 1	protein-coding	
105323174	ENSBDJG00000022307			LOC105323174	LOC105323174		bromodomain adjacent to zinc finger domain protein 2B	protein-coding	
105323175				LOC105323175	LOC105323175		transcription factor ces-2	protein-coding	
105323176	ENSBDJG00000021363			LOC105323176	LOC105323176		WD repeat, SAM and U-box domain-containing protein 1	protein-coding	
105323177				LOC105323177	LOC105323177		mediator of RNA polymerase II transcription subunit 15	protein-coding	
105323178	ENSBDJG00000019843			LOC105323178	LOC105323178		cyclic AMP-dependent transcription factor ATF-7	protein-coding	
105323179				LOC105323179	LOC105323179		growth hormone secretagogue receptor type 1	protein-coding	
105323180	ENSBDJG00000020481			LOC105323180	LOC105323180		uncharacterized LOC105323180	protein-coding	
105323181	ENSBDJG00000018616			LOC105323181	LOC105323181		uncharacterized LOC105323181	protein-coding	
105323182	ENSBDJG00000021709			LOC105323182	LOC105323182		uncharacterized LOC105323182	protein-coding	
105323183				LOC105323183	LOC105323183		protocadherin Fat 4	protein-coding	
105323184	ENSBDJG00000023027			LOC105323184	LOC105323184	Agl	alpha-glucosidase	protein-coding	
105323186		A0A8W8NL55	A0A8W8NL55	LOC105323186	LOC105323186		uncharacterized LOC105323186	protein-coding	
105323187	ENSBDJG00000019313			LOC105323187	LOC105323187		serine hydroxymethyltransferase, mitochondrial	protein-coding	
105323189	ENSBDJG00000022913			LOC105323189	LOC105323189		GATA zinc finger domain-containing protein 1	protein-coding	
105323191	ENSBDJG00000022247			LOC105323191	LOC105323191		protein FMC1 homolog	protein-coding	
105323192	ENSBDJG00000005168			LOC105323192	LOC105323192		universal stress protein in QAH/OAS sulfhydrylase 3'region	protein-coding	
105323193				LOC105323193	LOC105323193		uncharacterized LOC105323193	protein-coding	
105323194	ENSBDJG00000005685			LOC105323194	LOC105323194		NFX1-type zinc finger-containing protein 1	protein-coding	
105323195	ENSBDJG00000008894			LOC105323195	LOC105323195	Titin	cell adhesion molecule DSCAML1	protein-coding	
105323196	ENSBDJG00000007092			LOC105323196	LOC105323196		stress response protein NhaX	protein-coding	
105323197	ENSBDJG00000006817			LOC105323197	LOC105323197		stress response protein NhaX	protein-coding	
105323198	ENSBDJG00000009585			LOC105323198	LOC105323198		universal stress protein YxiE	protein-coding	
105323199	ENSBDJG00000011589			LOC105323199	LOC105323199		protein rolling stone	protein-coding	
105323200		A0A8W8I9K1	A0A8W8I9K1	LOC105323200	LOC105323200		uncharacterized LOC105323200	protein-coding	
105323202	ENSBDJG00000009028			LOC105323202	LOC105323202		heat shock 70 kDa protein 12A	protein-coding	
105323203	ENSBDJG00000011283			LOC105323203	LOC105323203		dynein axonemal assembly factor 4	protein-coding	
105323204				LOC105323204	LOC105323204		uncharacterized LOC105323204	protein-coding	
105323205				LOC105323205	LOC105323205		uncharacterized LOC105323205	protein-coding	
105323209				LOC105323209	LOC105323209		uncharacterized LOC105323209	protein-coding	
105323212	ENSBDJG00000018834			LOC105323212	LOC105323212		peroxisome proliferator-activated receptor delta	protein-coding	
105323213	ENSBDJG00000020923			LOC105323213	LOC105323213		glutathione hydrolase 1 proenzyme	protein-coding	
105323214	ENSBDJG00000023051			LOC105323214	LOC105323214		potassium voltage-gated channel protein Shaw	protein-coding	
105323215		A0A8W8MZ83	A0A8W8MZ83	LOC105323215	LOC105323215		glutamate receptor ionotropic, kainate 3	protein-coding	
105323216	ENSBDJG00000019624			LOC105323216	LOC105323216		glutamate receptor ionotropic, kainate 3	protein-coding	
105323217	ENSBDJG00000020114			LOC105323217	LOC105323217		intermembrane lipid transfer protein VPS13B	protein-coding	
105323219	ENSBDJG00000023397			LOC105323219	LOC105323219		coatomer subunit alpha	protein-coding	
105323220	ENSBDJG00000023036			LOC105323220	LOC105323220		cAMP-regulated phosphoprotein 21	protein-coding	
105323221	ENSBDJG00000020193			LOC105323221	LOC105323221		dual specificity tyrosine-phosphorylation-regulated kinase 4	protein-coding	
105323223	ENSBDJG00000020563			LOC105323223	LOC105323223		DNA endonuclease RBBP8	protein-coding	
105323225	ENSBDJG00000023304			LOC105323225	LOC105323225		uncharacterized LOC105323225	protein-coding	
105323226				LOC105323226	LOC105323226		uncharacterized LOC105323226	protein-coding	
105323227				LOC105323227	LOC105323227		uncharacterized LOC105323227	protein-coding	
105323229	ENSBDJG00000021368			LOC105323229	LOC105323229		tumor protein p53-inducible protein 11	protein-coding	
105323230	ENSBDJG00000001870			LOC105323230	LOC105323230		microsomal triglyceride transfer protein large subunit	protein-coding	
105323231				LOC105323231	LOC105323231		uncharacterized LOC105323231	ncRNA	
105323232	ENSBDJG00000022098	A0A8W8MU76	A0A8W8MU76;A0A8W8N210	LOC105323232	LOC105323232		NADH-cytochrome b5 reductase 3	protein-coding	
105323233	ENSBDJG00000021518	A0A8W8N200	A0A8W8N200	LOC105323233	LOC105323233		uncharacterized LOC105323233	protein-coding	
105323234				LOC105323234	LOC105323234		uncharacterized LOC105323234	protein-coding	
105323235				LOC105323235	LOC105323235		uncharacterized LOC105323235	protein-coding	
105323237	ENSBDJG00000007180			LOC105323237	LOC105323237		ankyrin repeat domain-containing protein 17	protein-coding	
105323240				LOC105323240	LOC105323240		uncharacterized LOC105323240	protein-coding	
105323241				LOC105323241	LOC105323241		uncharacterized LOC105323241	protein-coding	
105323242				LOC105323242	LOC105323242		glycosyl hydrolase YngK	protein-coding	
105323243				LOC105323243	LOC105323243		uncharacterized LOC105323243	protein-coding	
105323244				LOC105323244	LOC105323244		uncharacterized LOC105323244	protein-coding	
105323245				LOC105323245	LOC105323245		serine-rich adhesin for platelets	protein-coding	
105323246		A0A8W8N193	A0A8W8N193	LOC105323246	LOC105323246		loricrin	protein-coding	
105323247	ENSBDJG00000019821			LOC105323247	LOC105323247		gamma-tubulin complex component 6	protein-coding	
105323248	ENSBDJG00000020520			LOC105323248	LOC105323248		transmembrane protein 18	protein-coding	
105323249				LOC105323249	LOC105323249		uncharacterized LOC105323249	protein-coding	
105323250				LOC105323250	LOC105323250		uncharacterized LOC105323250	protein-coding	
105323251	ENSBDJG00000018673	A0A8W8N530	A0A8W8N530	LOC105323251	LOC105323251		thioredoxin domain-containing protein 17	protein-coding	
105323253				LOC105323253	LOC105323253		FMRFamide receptor	protein-coding	
105323254	ENSBDJG00000020011			LOC105323254	LOC105323254		SWI/SNF complex subunit SMARCC2	protein-coding	
105323255				LOC105323255	LOC105323255		coatomer subunit zeta-1	protein-coding	
105323256	ENSBDJG00000022571	A0A8W8MTY9	A0A8W8MTY9	LOC105323256	LOC105323256		homeobox protein Hox-A9	protein-coding	
105323257	ENSBDJG00000022138			LOC105323257	LOC105323257		homeobox protein abdominal-B	protein-coding	
105323261	ENSBDJG00000018525			LOC105323261	LOC105323261		endoplasmic reticulum chaperone BiP	protein-coding	
105323262				LOC105323262	LOC105323262		uncharacterized LOC105323262	protein-coding	
105323263	ENSBDJG00000020300	A0A8W8NP97	A0A8W8NP97	LOC105323263	LOC105323263		uncharacterized LOC105323263	protein-coding	
105323264	ENSBDJG00000020277			LOC105323264	LOC105323264		ras-related and estrogen-regulated growth inhibitor	protein-coding	
105323265	ENSBDJG00000003270			LOC105323265	LOC105323265		STAM-binding protein	protein-coding	
105323266				LOC105323266	LOC105323266		uncharacterized LOC105323266	protein-coding	
105323269	ENSBDJG00000021361			LOC105323269	LOC105323269		F-box only protein 30	protein-coding	
105323270	ENSBDJG00000021397	A0A8W8NJS1	A0A8W8NJS1	LOC105323270	LOC105323270		gamma-secretase subunit Aph-1	protein-coding	
105323271	ENSBDJG00000019148			LOC105323271	LOC105323271		zinc finger CCHC domain-containing protein 17	protein-coding	
105323272				LOC105323272	LOC105323272		zinc finger CCCH domain-containing protein 6	protein-coding	
105323273		A0A8W8MC67	A0A8W8MC67	LOC105323273	LOC105323273		glutathione S-transferase 1-1	protein-coding	
105323274	ENSBDJG00000020945			LOC105323274	LOC105323274		transcription elongation factor SPT5	protein-coding	
105323275	ENSBDJG00000020691			LOC105323275	LOC105323275		membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	protein-coding	
105323276	ENSBDJG00000021510			LOC105323276	LOC105323276		hypothetical protein	protein-coding	
105323277				LOC105323277	LOC105323277		Methylcytosine dioxygenase TET1	protein-coding	
105323278				LOC105323278	LOC105323278		uncharacterized LOC105323278	protein-coding	
105323279				LOC105323279	LOC105323279		malignant fibrous histiocytoma-amplified sequence 1 homolog	protein-coding	
105323280	ENSBDJG00000023087			LOC105323280	LOC105323280		lipase maturation factor 2	protein-coding	
105323281	ENSBDJG00000019855			LOC105323281	LOC105323281		condensin-2 complex subunit H2	protein-coding	
105323283	ENSBDJG00000019947			LOC105323283	LOC105323283		toll-like receptor 4	protein-coding	
105323284	ENSBDJG00000019591			LOC105323284	LOC105323284		liprin-beta-1	protein-coding	
105323285	ENSBDJG00000019682			LOC105323285	LOC105323285		procathepsin L	protein-coding	
105323286	ENSBDJG00000020493	A0A8W8NJL9	A0A8W8NJL9	LOC105323286	LOC105323286		PHD finger protein 21A	protein-coding	
105323287	ENSBDJG00000020258	A0A8W8NAZ3	A0A8W8NAZ3;A0A8W8NGP6;A0A8W8NGQ7;A0A8W8NJW9	LOC105323287	LOC105323287		myoneurin	protein-coding	
105323288	ENSBDJG00000004793			LOC105323288	LOC105323288		protein FAM13A	protein-coding	
105323289				LOC105323289	LOC105323289		hypothetical protein	protein-coding	
105323293				LOC105323293	LOC105323293		sulfotransferase 6B1	protein-coding	
105323294				LOC105323294	LOC105323294		toll-like receptor 4	protein-coding	
105323297	ENSBDJG00000020571			LOC105323297	LOC105323297		dymeclin	protein-coding	
105323298				LOC105323298	LOC105323298		uncharacterized LOC105323298	ncRNA	
105323299	ENSBDJG00000017906			LOC105323299	LOC105323299		carnosine N-methyltransferase	protein-coding	
105323301				LOC105323301	LOC105323301		protein FAM210B, mitochondrial-like	protein-coding	
105323303				LOC105323303	LOC105323303		uncharacterized LOC105323303	protein-coding	
105323304				LOC105323304	LOC105323304		uncharacterized LOC105323304	ncRNA	
105323311	ENSBDJG00000000997	A0A8W8M7W3	A0A8W8M7W3;A0A8W8MCX6	LOC105323311	LOC105323311		polycystin-2	protein-coding	
105323312				LOC105323312	LOC105323312		uncharacterized LOC105323312	protein-coding	
105323315	ENSBDJG00000003941			LOC105323315	LOC105323315		sodium-coupled monocarboxylate transporter 2	protein-coding	
105323316	ENSBDJG00000007452			LOC105323316	LOC105323316		alpha-2-macroglobulin receptor-associated protein	protein-coding	
105323317	ENSBDJG00000004149	F5A8D3	F5A8D3	LOC105323317	LOC105323317		fas-associated death domain protein-like	protein-coding	
105323338	ENSBDJG00000001816			LOC105323338	LOC105323338		L-rhamnonate dehydratase	protein-coding	
105323351				LOC105323351	LOC105323351		L-threonine 3-dehydrogenase	protein-coding	
105323353				LOC105323353	LOC105323353		uncharacterized LOC105323353	ncRNA	
105323364	ENSBDJG00000001561			LOC105323364	LOC105323364		cytochrome P450 4V2	protein-coding	
105323368				LOC105323368	LOC105323368		uncharacterized LOC105323368	ncRNA	
105323380				LOC105323380	LOC105323380		uncharacterized protein DDB_G0290301	protein-coding	
105323381	ENSBDJG00000019177	A0A8W8J7J9	A0A8W8J7J9	LOC105323381	LOC105323381		small VCP/p97-interacting protein	protein-coding	
105323382	ENSBDJG00000008480			LOC105323382	LOC105323382		uncharacterized LOC105323382	ncRNA	
105323385	ENSBDJG00000003262			LOC105323385	LOC105323385		uncharacterized LOC105323385	protein-coding	
105323394	ENSBDJG00000007396			LOC105323394	LOC105323394		uncharacterized LOC105323394	protein-coding	
105323395	ENSBDJG00000022248			LOC105323395	LOC105323395		clumping factor A	protein-coding	
105323398	ENSBDJG00000005173	A0A8W8LSZ5	A0A8W8LSZ5	LOC105323398	LOC105323398		universal stress protein in QAH/OAS sulfhydrylase 3'region	protein-coding	
105323406	ENSBDJG00000020695			LOC105323406	LOC105323406		myeloid differentiation primary response protein MyD88	protein-coding	
105323414	ENSBDJG00000001457			LOC105323414	LOC105323414		histone H3.3A	protein-coding	
105323423		A0A8W8M719	A0A8W8M719	LOC105323423	LOC105323423		uncharacterized LOC105323423	protein-coding	
105323433				LOC105323433	LOC105323433		uncharacterized LOC105323433	ncRNA	
105323445				LOC105323445	LOC105323445		probable serine/threonine-protein kinase fhkB	protein-coding	
105323449	ENSBDJG00000002289			LOC105323449	LOC105323449		pseudouridine-5'-phosphatase	protein-coding	
105323459	ENSBDJG00000011347	A0A8W8HZK5	A0A8W8HZK5;A0A8W8HZR6	LOC105323459	LOC105323459		limbic system-associated membrane protein	protein-coding	
105323463				LOC105323463	LOC105323463		uncharacterized LOC105323463	protein-coding	
105323469				LOC105323469	LOC105323469		uncharacterized LOC105323469	ncRNA	
105323475	ENSBDJG00000011667	A0A8W8HPW1	A0A8W8HPW1	LOC105323475	LOC105323475		large ribosomal subunit protein uL22	protein-coding	
105323477	ENSBDJG00000003670			LOC105323477	LOC105323477		uncharacterized LOC105323477	protein-coding	
105323478	ENSBDJG00000007756			LOC105323478	LOC105323478		uncharacterized LOC105323478	protein-coding	
105323479				LOC105323479	LOC105323479		uncharacterized LOC105323479	ncRNA	
105323486	ENSBDJG00000001585	A0A8W8MW71	A0A8W8MW71	LOC105323486	LOC105323486	rpll	large ribosomal subunit protein uL2	protein-coding	
