# Retired NCBI GeneIDs for taxid 29159, from NCBI gene_history.
# Built by src/mappings/build_crosswalk.py v1.0.0 on 2026-08-27
# Studies analysed against an older annotation report these identifiers; each row
# records the authoritative NCBI replacement. Resolution through this table is
# labelled 'inferred', not 'exact', because it crosses an annotation version.
# 13601 further GeneIDs were discontinued with NO replacement and are
# deliberately absent, so that they stay 'unresolved'.
discontinued_gene_id	current_gene_id	discontinued_symbol	discontinue_date
105318312	105346446	LOC105318312	20200521
105318314	105319956	LOC105318314	20200521
105318315	105325508	LOC105318315	20200521
105318328	105328423	LOC105318328	20200521
105318333	117691748	LOC105318333	20240702
105318335	105327769	LOC105318335	20200521
105318340	105318327	LOC105318340	20170203
105318347	105318346	LOC105318347	20200521
105318356	105322449	LOC105318356	20200521
105318357	105322449	LOC105318357	20200521
105318360	117680721	LOC105318360	20240702
105318364	105322449	LOC105318364	20200521
105318377	105323230	LOC105318377	20200521
105318386	105324065	LOC105318386	20200521
105318410	105318384	LOC105318410	20200521
105318412	117683485	LOC105318412	20240702
105318413	105318414	LOC105318413	20240704
105318422	105318421	LOC105318422	20200521
105318428	105318430	LOC105318428	20200521
105318431	105330153	LOC105318431	20200521
105318455	105318013	LOC105318455	20200521
105318462	105318463	LOC105318462	20240702
105318467	105323530	LOC105318467	20240702
105318475	105318474	LOC105318475	20170203
105318498	105318385	LOC105318498	20170203
105318505	105317109	LOC105318505	20200521
105318526	105330901	LOC105318526	20200521
105318529	105343069	LOC105318529	20200521
105318530	105328103	LOC105318530	20200521
105318531	105343071	LOC105318531	20200521
105318543	105333538	LOC105318543	20200521
105318552	105321769	LOC105318552	20240702
105318559	105318539	LOC105318559	20200521
105318573	105318572	LOC105318573	20170203
105318576	117683709	LOC105318576	20240704
105318580	105341028	LOC105318580	20200521
105318581	105324187	LOC105318581	20200521
105318619	105318620	LOC105318619	20200521
105318621	105318622	LOC105318621	20170203
105318624	105336635	LOC105318624	20200521
105318626	105337527	LOC105318626	20240702
105318630	105337427	LOC105318630	20200521
105318632	105318629	LOC105318632	20170203
105318640	105335651	LOC105318640	20200521
105318642	105322827	LOC105318642	20240702
105318655	105318653	LOC105318655	20200521
105318661	105318686	LOC105318661	20200521
105318671	105318672	LOC105318671	20170203
105318682	117680299	LOC105318682	20240702
105318685	105318659	LOC105318685	20200521
105318690	105317516	LOC105318690	20200521
105318697	117690541	LOC105318697	20240702
105318698	109618058	LOC105318698	20240702
105318699	117690080	LOC105318699	20240702
105318707	117690532	LOC105318707	20240702
105318712	117690072	LOC105318712	20240702
105318713	105329922	LOC105318713	20200521
105318714	117680472	LOC105318714	20240702
105318720	105318719	LOC105318720	20170203
105318725	105338447	LOC105318725	20200521
105318733	105328103	LOC105318733	20200521
105318752	105339343	LOC105318752	20200521
105318759	105322419	LOC105318759	20200521
105318762	105318711	LOC105318762	20240702
105318764	105318734	LOC105318764	20170203
105318767	105342577	LOC105318767	20240702
105318781	105318780	LOC105318781	20200521
105318797	105332051	LOC105318797	20200521
105318807	105341200	LOC105318807	20200521
105318808	105323800	LOC105318808	20200521
105318813	105334533	LOC105318813	20200521
105318818	105318817	LOC105318818	20200521
105318819	105332051	LOC105318819	20200521
105318820	117690362	LOC105318820	20240702
105318821	109619616	LOC105318821	20240702
105318822	105338770	LOC105318822	20200521
105318832	105335642	LOC105318832	20200521
105318835	117691814	LOC105318835	20240702
105318836	117691810	LOC105318836	20240702
105318838	117691809	LOC105318838	20240702
105318840	117691821	LOC105318840	20240702
105318844	117691811	LOC105318844	20240702
105318862	105318861	LOC105318862	20170203
105318863	117688348	LOC105318863	20240702
105318871	105329632	LOC105318871	20200521
105318876	105339803	LOC105318876	20200521
105318877	105321376	LOC105318877	20200521
105318882	105318881	LOC105318882	20200521
105318883	105339887	LOC105318883	20200521
105318888	105321376	LOC105318888	20200521
105318890	105326395	LOC105318890	20200521
105318892	105347618	LOC105318892	20200521
105318893	105347618	LOC105318893	20170203
105318896	105347601	LOC105318896	20200521
105318905	105318900	LOC105318905	20240702
105318906	105332694	LOC105318906	20200521
105318907	105348053	LOC105318907	20200521
105318912	117689706	LOC105318912	20240702
105318913	105331904	LOC105318913	20200521
105318914	105319054	LOC105318914	20200521
105318933	105344221	LOC105318933	20200521
105318940	105323518	LOC105318940	20200521
105318952	105333941	LOC105318952	20200521
105318962	105337422	LOC105318962	20200521
105318963	105337422	LOC105318963	20200521
105318964	117690005	LOC105318964	20240702
105318970	105323989	LOC105318970	20200521
105318981	105317350	LOC105318981	20200521
105318983	105331279	LOC105318983	20200521
105318986	117690007	LOC105318986	20240704
105318993	109620684	LOC105318993	20200521
105319019	105319015	LOC105319019	20200521
105319025	105319039	LOC105319025	20200521
105319034	105319020	LOC105319034	20200521
105319037	109617462	LOC105319037	20200521
105319040	105325916	LOC105319040	20200521
105319047	109618351	LOC105319047	20200521
105319053	105319069	LOC105319053	20200521
105319063	105327066	LOC105319063	20240704
105319072	105337592	LOC105319072	20200521
105319078	105348450	LOC105319078	20200521
105319094	105343789	LOC105319094	20200521
105319098	105319101	LOC105319098	20170203
105319103	117680642	LOC105319103	20240704
105319104	105329283	LOC105319104	20200521
105319106	105345661	LOC105319106	20240702
105319107	105335609	LOC105319107	20200521
105319111	105346589	LOC105319111	20200521
105319113	105346088	LOC105319113	20200521
105319114	105346089	LOC105319114	20200521
105319117	105328084	LOC105319117	20200521
105319119	105319118	LOC105319119	20170203
105319120	105340437	LOC105319120	20200521
105319126	117692889	LOC105319126	20240702
105319137	117681492	LOC105319137	20240702
105319150	105343067	LOC105319150	20200521
105319152	105336771	LOC105319152	20200521
105319153	105336772	LOC105319153	20200521
105319161	105319775	LOC105319161	20200521
105319162	105329525	LOC105319162	20200521
105319163	105317588	LOC105319163	20200521
105319164	105327813	LOC105319164	20200521
105319165	105327813	LOC105319165	20200521
105319177	105346767	LOC105319177	20200521
105319179	105335125	LOC105319179	20200521
105319196	105319201	LOC105319196	20170203
105319197	105323962	LOC105319197	20200521
105319200	105319201	LOC105319200	20170203
105319202	105323962	LOC105319202	20200521
105319224	105325089	LOC105319224	20240704
105319228	105343954	LOC105319228	20200521
105319229	105325089	LOC105319229	20200521
105319233	105331446	LOC105319233	20200521
105319236	105319092	LOC105319236	20200521
105319252	105330179	LOC105319252	20240702
105319255	105319256	LOC105319255	20170203
105319260	105348082	LOC105319260	20240702
105319264	105319276	LOC105319264	20170203
105319271	105319270	LOC105319271	20170203
105319272	105319012	LOC105319272	20240702
105319277	109620131	LOC105319277	20200521
105319279	117685576	LOC105319279	20240702
105319290	105319289	LOC105319290	20170203
105319291	105339745	LOC105319291	20200521
105319292	105318577	LOC105319292	20200521
105319296	105326266	LOC105319296	20200521
105319300	117688785	LOC105319300	20240702
105319303	105319302	LOC105319303	20170203
105319308	105319309	LOC105319308	20170203
105319323	105319340	LOC105319323	20170203
105319334	105329682	LOC105319334	20200521
105319336	105336574	LOC105319336	20200521
105319357	117692838	LOC105319357	20240704
105319367	105331613	LOC105319367	20200521
105319368	105344343	LOC105319368	20200521
105319374	105322814	LOC105319374	20200521
105319379	105321450	LOC105319379	20200521
105319392	109617518	LOC105319392	20200521
105319428	105344444	LOC105319428	20200521
105319429	105317840	LOC105319429	20200521
105319434	105336566	LOC105319434	20200521
105319436	105327050	LOC105319436	20200521
105319441	105346589	LOC105319441	20200521
105319448	105334155	LOC105319448	20200521
105319450	105320276	LOC105319450	20200521
105319451	105331857	LOC105319451	20200521
105319454	105324479	LOC105319454	20200521
105319455	105323897	LOC105319455	20200521
105319456	105324479	LOC105319456	20200521
105319462	105331620	LOC105319462	20200521
105319463	105327052	LOC105319463	20200521
105319465	105346881	LOC105319465	20200521
105319470	105347760	LOC105319470	20200521
105319472	105319471	LOC105319472	20200521
105319474	117685428	LOC105319474	20240702
105319476	105346758	LOC105319476	20240704
105319477	105330808	LOC105319477	20240702
105319493	105346943	LOC105319493	20200521
105319499	105319503	LOC105319499	20200521
105319500	105319503	LOC105319500	20170203
105319502	105319503	LOC105319502	20240702
105319513	105341146	LOC105319513	20200521
105319514	105341146	LOC105319514	20200521
105319516	105341146	LOC105319516	20200521
105319518	109617042	LOC105319518	20200521
105319521	105341149	LOC105319521	20200521
105319522	105330898	LOC105319522	20200521
105319530	105339979	LOC105319530	20200521
105319531	105339994	LOC105319531	20200521
105319551	105319704	LOC105319551	20170203
105319557	105319555	LOC105319557	20200521
105319558	105319567	LOC105319558	20200521
105319562	105348956	LOC105319562	20200521
105319568	105335411	LOC105319568	20240702
105319571	105339169	LOC105319571	20200521
105319576	105319600	LOC105319576	20200521
105319583	117688271	LOC105319583	20240702
105319584	105344357	LOC105319584	20200521
105319586	105344358	LOC105319586	20200521
105319587	105337784	LOC105319587	20200521
105319594	105336201	LOC105319594	20200521
105319601	105319599	LOC105319601	20200521
105319609	105348008	LOC105319609	20200521
105319611	105333610	LOC105319611	20200521
105319612	105319607	LOC105319612	20170203
105319619	105319617	LOC105319619	20200521
105319627	105323810	LOC105319627	20200521
105319629	105324087	LOC105319629	20200521
105319634	117688091	LOC105319634	20240704
105319639	117681643	LOC105319639	20240702
105319640	117681648	LOC105319640	20240702
105319650	117686921	LOC105319650	20240702
105319654	105329198	LOC105319654	20200521
105319656	105319097	LOC105319656	20200521
105319658	105326630	LOC105319658	20200521
105319665	117681484	LOC105319665	20240702
105319671	117690038	LOC105319671	20240702
105319680	105319679	LOC105319680	20200521
105319695	105348805	LOC105319695	20200521
105319708	105348008	LOC105319708	20200521
105319710	105340809	LOC105319710	20200521
105319718	105335770	LOC105319718	20200521
105319725	105327624	LOC105319725	20200521
105319740	105319741	LOC105319740	20170203
105319748	105319747	LOC105319748	20170203
105319751	117680640	LOC105319751	20240704
105319758	117689840	LOC105319758	20240704
105319760	117680490	LOC105319760	20240702
105319768	105329346	LOC105319768	20200521
105319772	105319773	LOC105319772	20200521
105319774	105319765	LOC105319774	20200521
105319794	105331000	LOC105319794	20200521
105319796	105335506	LOC105319796	20200521
105319821	105319838	LOC105319821	20170203
105319836	109617575	LOC105319836	20240702
105319841	105319839	LOC105319841	20200521
105319842	105319839	LOC105319842	20200521
105319844	105321465	LOC105319844	20200521
105319848	105341638	LOC105319848	20200521
105319851	105319849	LOC105319851	20170203
105319855	105319854	LOC105319855	20200521
105319865	105319864	LOC105319865	20200521
105319872	105319871	LOC105319872	20200521
105319873	105322976	LOC105319873	20200521
105319874	109618803	LOC105319874	20200521
105319887	105341280	LOC105319887	20200521
105319889	105319888	LOC105319889	20170203
105319897	105341280	LOC105319897	20200521
105319898	105342503	LOC105319898	20200521
105319901	105319909	LOC105319901	20240702
105319902	117687739	LOC105319902	20240702
105319903	117687266	LOC105319903	20240702
105319910	117687741	LOC105319910	20240702
105319927	105323385	LOC105319927	20200521
105319953	105318974	LOC105319953	20200521
105319972	105319971	LOC105319972	20240702
105319977	105319978	LOC105319977	20200521
105319980	105345059	LOC105319980	20200521
105319982	117692013	LOC105319982	20240702
105319993	105339715	LOC105319993	20240702
105320005	105320367	LOC105320005	20200521
105320012	105343733	LOC105320012	20200521
105320014	105319468	LOC105320014	20200521
105320020	105320021	LOC105320020	20200521
105320025	105332469	LOC105320025	20240702
105320028	105317795	LOC105320028	20200521
105320060	105336082	LOC105320060	20200521
105320061	105336192	LOC105320061	20200521
105320067	117682430	LOC105320067	20240702
105320070	105323866	LOC105320070	20200521
105320080	117690867	LOC105320080	20240702
105320083	105346374	LOC105320083	20200521
105320093	105320088	LOC105320093	20200521
105320111	105338019	LOC105320111	20200521
105320112	105323992	LOC105320112	20200521
105320114	105331205	LOC105320114	20240702
105320124	105329356	LOC105320124	20200521
105320125	105338276	LOC105320125	20200521
105320134	105320133	LOC105320134	20200521
105320139	105339745	LOC105320139	20200521
105320140	105346589	LOC105320140	20200521
105320145	117690775	LOC105320145	20240702
105320147	105346513	LOC105320147	20200521
105320159	117680495	LOC105320159	20240702
105320163	105321077	LOC105320163	20200521
105320182	105320175	LOC105320182	20200521
105320191	105320192	LOC105320191	20170203
105320199	105320201	LOC105320199	20200521
105320210	105324233	LOC105320210	20200521
105320212	105320211	LOC105320212	20170203
105320213	105320211	LOC105320213	20200521
105320224	105322054	LOC105320224	20240702
105320226	105320225	LOC105320226	20170203
105320229	105345402	LOC105320229	20200521
105320235	105334009	LOC105320235	20200521
105320242	117690047	LOC105320242	20240702
105320249	105322597	LOC105320249	20200521
105320263	105320261	LOC105320263	20200521
105320269	117687321	LOC105320269	20240702
105320271	105339947	LOC105320271	20200521
105320277	105341925	LOC105320277	20200521
105320281	105320807	LOC105320281	20200521
105320293	105339034	LOC105320293	20240704
105320295	105326385	LOC105320295	20200521
105320301	105320298	LOC105320301	20200521
105320310	105338552	LOC105320310	20200521
105320314	117691484	LOC105320314	20240702
105320316	105336190	LOC105320316	20200521
105320323	117681165	LOC105320323	20240702
105320324	117681165	LOC105320324	20170203
105320329	105332837	LOC105320329	20200521
105320334	105323656	LOC105320334	20200521
105320335	105322976	LOC105320335	20200521
105320336	109619000	LOC105320336	20200521
105320339	105339803	LOC105320339	20200521
105320343	105320342	LOC105320343	20170203
105320345	117689691	LOC105320345	20240702
105320346	105332837	LOC105320346	20200521
105320347	117689700	LOC105320347	20240702
105320354	105346603	LOC105320354	20200521
105320361	117688346	LOC105320361	20240702
105320362	105331699	LOC105320362	20200521
105320368	105320364	LOC105320368	20200521
105320398	105323861	LOC105320398	20200521
105320414	105333292	LOC105320414	20200521
105320416	105320441	LOC105320416	20200521
105320443	105320444	LOC105320443	20240702
105320450	105348634	LOC105320450	20200521
105320451	117687229	LOC105320451	20240702
105320454	117690849	LOC105320454	20240704
105320456	117680354	LOC105320456	20240702
105320466	105328838	LOC105320466	20200521
105320478	105343636	LOC105320478	20200521
105320507	105323960	LOC105320507	20200521
105320521	105330217	LOC105320521	20200521
105320524	105323960	LOC105320524	20200521
105320525	105333971	LOC105320525	20200521
105320532	105320538	LOC105320532	20170203
105320533	105320538	LOC105320533	20200521
105320536	105338729	LOC105320536	20200521
105320537	105338729	LOC105320537	20200521
105320539	105340388	LOC105320539	20200521
